date,presentprice,open,highprice,lowprice,change%
20170421,"1,134.57","1,137.11","1,140.90","1,131.90",-0.31
20170420,"1,138.12","1,142.69","1,145.31","1,134.56",-0.49
20170419,"1,143.69","1,141.64","1,144.65","1,136.80",0.09
20170418,"1,142.64","1,132.01","1,148.82","1,131.49",0.85
20170417,"1,133.02","1,135.33","1,139.62","1,130.41",-0.3
20170414,"1,136.45","1,135.32","1,142.08","1,134.40",0.01
20170413,"1,136.32","1,133.95","1,138.90","1,125.19",0.12
20170412,"1,134.95","1,144.63","1,150.30","1,133.49",-0.93
20170411,"1,145.63","1,142.47","1,150.61","1,140.17",0.19
20170410,"1,143.47","1,136.92","1,144.82","1,135.99",0.49
20170407,"1,137.89","1,130.29","1,140.81","1,129.44",0.58
20170406,"1,131.30","1,127.27","1,135.04","1,125.77",0.27
20170405,"1,128.28","1,124.09","1,129.15","1,120.97",0.28
20170404,"1,125.10","1,116.27","1,127.22","1,115.79",0.7
20170403,"1,117.28","1,115.90","1,119.54","1,111.26",-0.03
20170331,"1,117.65","1,117.59","1,122.68","1,115.14",-0.08
20170330,"1,118.60","1,110.47","1,119.81","1,109.19",0.64
20170329,"1,111.47","1,115.41","1,117.31","1,109.79",-0.44
20170328,"1,116.41","1,110.31","1,117.15","1,109.89",0.46
20170327,"1,111.32","1,116.14","1,117.58","1,105.64",-0.56
20170324,"1,117.56","1,121.68","1,125.61","1,112.49",-0.46
20170323,"1,122.68","1,116.28","1,124.64","1,115.79",0.48
20170322,"1,117.28","1,122.03","1,127.60","1,115.59",-0.51
20170321,"1,123.03","1,113.51","1,124.31","1,113.09",0.76
20170320,"1,114.52","1,128.04","1,131.31","1,111.58",-1.29
20170317,"1,129.04","1,127.81","1,134.14","1,126.39",0.02
20170316,"1,128.82","1,127.61","1,134.70","1,124.85",0.02
20170315,"1,128.62","1,148.97","1,150.84","1,126.59",-1.86
20170314,"1,149.97","1,146.59","1,151.20","1,144.35",0.17
20170313,"1,147.99","1,147.72","1,153.01","1,142.75",-0.07
20170310,"1,148.81","1,159.09","1,162.03","1,147.19",-0.97
20170309,"1,160.10","1,153.79","1,161.45","1,152.09",0.43
20170308,"1,155.19","1,149.67","1,156.88","1,142.27",0.39
20170307,"1,150.67","1,154.15","1,158.11","1,145.19",-0.39
20170306,"1,155.15","1,151.41","1,159.40","1,151.12",0.25
20170303,"1,152.32","1,149.71","1,159.85","1,146.70",0.14
20170302,"1,150.71","1,139.23","1,152.53","1,138.79",0.92
20170301,"1,140.23","1,136.39","1,146.42","1,136.00",0.21
20170228,"1,137.80","1,133.65","1,138.19","1,123.56",0.28
20170227,"1,134.65","1,129.50","1,135.21","1,128.29",0.37
20170224,"1,130.50","1,132.09","1,134.80","1,126.90",-0.23
20170223,"1,133.10","1,137.48","1,142.70","1,128.19",-0.47
20170222,"1,138.48","1,141.89","1,145.83","1,136.69",-0.39
20170221,"1,142.89","1,144.37","1,149.81","1,140.59",-0.22
20170220,"1,145.38","1,149.61","1,151.57","1,143.89",-0.47
20170217,"1,150.78","1,140.99","1,152.68","1,140.49",0.77
20170216,"1,141.99","1,134.27","1,144.04","1,132.74",0.59
20170215,"1,135.28","1,137.89","1,146.01","1,132.19",-0.32
20170214,"1,138.89","1,148.71","1,151.40","1,133.59",-0.94
20170213,"1,149.71","1,145.59","1,155.40","1,145.17",0.27
20170210,"1,146.60","1,150.02","1,155.40","1,144.69",-0.38
20170209,"1,151.02","1,144.20","1,152.28","1,141.92",0.51
20170208,"1,145.20","1,142.39","1,149.56","1,141.16",0.16
20170207,"1,143.39","1,133.59","1,148.48","1,132.19",0.74
20170206,"1,134.99","1,137.36","1,141.01","1,130.10",-0.31
20170203,"1,138.52","1,143.09","1,149.51","1,133.16",-0.49
20170202,"1,144.10","1,152.71","1,155.20","1,136.63",-0.83
20170201,"1,153.71","1,150.65","1,159.40","1,148.89",0.18
20170131,"1,151.65","1,169.71","1,171.11","1,146.99",-1.63
20170130,"1,170.71","1,177.40","1,179.43","1,168.59",-0.69
20170127,"1,178.82","1,170.99","1,180.93","1,169.69",0.55
20170126,"1,172.39","1,161.70","1,173.12","1,155.30",0.83
20170125,"1,162.70","1,169.23","1,170.35","1,160.67",-0.64
20170124,"1,170.23","1,162.23","1,170.77","1,159.76",0.6
20170123,"1,163.23","1,174.35","1,176.01","1,161.79",-1.03
20170120,"1,175.39","1,174.18","1,178.45","1,167.63",0.02
20170119,"1,175.18","1,177.37","1,181.53","1,173.36",-0.27
20170118,"1,178.38","1,159.83","1,178.95","1,159.39",1.51
20170117,"1,160.84","1,182.37","1,188.11","1,159.15",-1.9
20170116,"1,183.38","1,174.05","1,185.55","1,174.04",0.71
20170113,"1,175.00","1,174.91","1,181.40","1,170.77",-0.08
20170112,"1,175.91","1,186.87","1,188.18","1,170.30",-1.01
20170111,"1,187.88","1,200.79","1,203.36","1,183.49",-1.16
20170110,"1,201.80","1,202.35","1,204.26","1,193.08",-0.13
20170109,"1,203.36","1,201.00","1,209.61","1,200.08",0.11
20170106,"1,202.00","1,180.79","1,202.33","1,179.19",1.68
20170105,"1,182.19","1,195.15","1,196.72","1,179.77",-1.17
20170104,"1,196.15","1,205.81","1,210.11","1,193.89",-0.88
20170103,"1,206.82","1,202.93","1,212.81","1,200.39",0.24
