AGCODE	WEIGHT	PRICE	YEAR				AGCODE		AGCODE
오이	"4,251,912.80"	"1,430,098"	2017년04월						
감자	"170,540.58"	"472,678"	2016년05월						
고구마	0	0	2016년05월						
사과	"30,873.20"	"44,527"	2016년05월						
시금치	38	720	2016년05월						
무	"653,226"	"154,999"	2016년05월						
당근	"35,949,851.50"	"15,546,659"	2016년05월						
오이	"5,532,868"	"1,898,903"	2016년05월						
감자	3.7	49	2017년05월						
고구마	"3,460"	"6,034"	2017년05월						
사과	0	0	2017년05월						
시금치	0.9	13	2017년05월						
무	"2,872,770.36"	"582,639"	2017년05월						
당근	"39,741,831.44"	"16,513,806"	2017년05월						
오이	"5,022,952.80"	"1,684,305"	2017년05월						
감자	"170,546.38"	"472,735"	2016년06월						
고구마	0	0	2016년06월						
사과	"30,873.20"	"44,527"	2016년06월						
시금치	38	720	2016년06월						
무	"1,041,002"	"245,171"	2016년06월						
당근	"43,087,121.50"	"20,719,190"	2016년06월						
오이	"6,511,068"	"2,223,974"	2016년06월						
감자	3.7	49	2017년06월						
고구마	"3,460"	"6,034"	2017년06월						
사과	0	0	2017년06월						
시금치	0.9	13	2017년06월						
무	"2,906,146.36"	"597,600"	2017년06월						
당근	"49,461,308.44"	"20,636,489"	2017년06월						
오이	"5,988,052.80"	"1,982,699"	2017년06월						
감자	"170,553.86"	"472,802"	2016년07월						
고구마	0	0	2016년07월						
사과	"30,873.20"	"44,527"	2016년07월						
시금치	38	720	2016년07월						
무	"1,138,202"	"265,530"	2016년07월						
당근	"52,846,121.50"	"25,208,978"	2016년07월						
오이	"7,445,288"	"2,532,926"	2016년07월						
감자	3.7	49	2017년07월						
고구마	"3,460"	"6,034"	2017년07월						
사과	0	0	2017년07월						
시금치	0.9	13	2017년07월						
무	"2,956,146.36"	"612,482"	2017년07월						
당근	"58,368,808.44"	"24,343,643"	2017년07월						
오이	"6,804,452.80"	"2,258,085"	2017년07월						
감자	"170,564.68"	"472,896"	2016년08월						
고구마	0	0	2016년08월						
사과	"30,873.20"	"44,527"	2016년08월						
시금치	38	720	2016년08월						
무	"1,271,386"	"298,481"	2016년08월						
당근	"60,486,501.50"	"28,030,693"	2016년08월						
오이	"8,456,088"	"2,871,950"	2016년08월						
감자	0	0	2017년08월						
고구마	0	0	2017년08월						
사과	0	0	2017년08월						
시금치	0	0	2017년08월						
무	0	0	2017년08월						
당근	0	0	2017년08월						
오이	0	0	2017년08월						
감자	"170,577.22"	"472,987"	2016년09월						
고구마	0	0	2016년09월						
사과	"30,873.20"	"44,527"	2016년09월						
시금치	38	720	2016년09월						
무	"1,571,684"	"365,298"	2016년09월						
당근	"69,913,541.50"	"31,361,486"	2016년09월						
오이	"9,310,588"	"3,166,091"	2016년09월						
감자	0	0	2017년09월						
고구마	0	0	2017년09월						
사과	0	0	2017년09월						
시금치	0	0	2017년09월						
무	0	0	2017년09월						
당근	0	0	2017년09월						
오이	0	0	2017년09월						
감자	"186,589.72"	"517,265"	2016년10월						
고구마	0	0	2016년10월						
사과	"30,873.20"	"44,527"	2016년10월						
시금치	39	735	2016년10월						
무	"2,420,684"	"519,699"	2016년10월						
당근	"79,696,041.50"	"35,116,619"	2016년10월						
오이	"10,504,588"	"3,554,415"	2016년10월						
감자	0	0	2017년10월						
고구마	0	0	2017년10월						
사과	0	0	2017년10월						
시금치	0	0	2017년10월						
무	0	0	2017년10월						
당근	0	0	2017년10월						
오이	0	0	2017년10월						
감자	"218,600.58"	"605,733"	2016년11월						
고구마	"95,550"	"85,031"	2016년11월						
사과	"30,873.20"	"44,527"	2016년11월						
시금치	39	735	2016년11월						
무	"3,922,032"	"809,440"	2016년11월						
당근	"90,805,376.88"	"39,611,615"	2016년11월						
