,AGCODE,WEIGHT,PRICE,YEAR
8,11601사과-계,1,7,2014년12월
9,121채소류-계,"119,802,237","51,648,248",2014년12월
10,12113시금치-계,11,44,2014년12월
11,12121무-계,"8,286,018","2,281,873",2014년12월
12,12123당근-계,"94,624,393","42,381,835",2014년12월
13,12132오이-계,"16,891,814","6,984,487",2014년12월
14,12161고추-계,1,9,2014년12월
15,2축산물-계,"371,443","2,040,677",2014년12월
16,242난류-계,"371,443","2,040,677",2014년12월
17,24201조란-계,"371,443","2,040,677",2014년12월
18,총계,"190,714,186","131,685,053",2015년12월
19,1농산물-계,"190,253,581","129,230,812",2015년12월
20,111곡류-계,"78,384,018","79,101,773",2015년12월
21,11101쌀-계,"78,384,018","79,101,773",2015년12월
22,112서류-계,"486,379","1,111,520",2015년12월
23,11201감자-계,"324,563","967,442",2015년12월
24,11202고구마-계,"161,816","144,078",2015년12월
25,116과실류-계,"80,594","135,684",2015년12월
26,11601사과-계,"80,594","135,684",2015년12월
27,121채소류-계,"111,302,590","48,881,835",2015년12월
28,12113시금치-계,11,151,2015년12월
29,12121무-계,"4,682,269","1,109,419",2015년12월
30,12123당근-계,"92,318,578","42,777,282",2015년12월
31,12132오이-계,"14,301,730","4,994,958",2015년12월
32,12161고추-계,2,25,2015년12월
33,2축산물-계,"460,605","2,454,241",2015년12월
34,242난류-계,"460,605","2,454,241",2015년12월
35,24201조란-계,"460,605","2,454,241",2015년12월
0,총계,"19,010,311.1","14,520,553",2016년01월
1,1농산물-계,"18,963,097.1","14,294,391",2016년01월
2,111곡류-계,"11,781,175.5","11,677,860",2016년01월
3,11101쌀-계,"11,781,175.5","11,677,860",2016년01월
4,112서류-계,"47,338","131,558",2016년01월
5,11201감자-계,"47,338","131,558",2016년01월
6,11202고구마-계,0,0,2016년01월
7,116과실류-계,"12,466.6","17,523",2016년01월
8,11601사과-계,"12,466.6","17,523",2016년01월
9,121채소류-계,"7,122,117","2,467,450",2016년01월
10,12113시금치-계,17,312,2016년01월
11,12121무-계,"359,890","77,934",2016년01월
12,12123당근-계,"5,631,810","2,000,760",2016년01월
13,12132오이-계,"1,130,400","388,444",2016년01월
14,12161고추-계,0,0,2016년01월
15,2축산물-계,"47,214","226,162",2016년01월
16,242난류-계,"47,214","226,162",2016년01월
17,24201조란-계,"47,214","226,162",2016년01월
18,총계,"18,636,951.14","12,605,702",2017년01월
19,1농산물-계,"18,122,865.31","11,164,618",2017년01월
20,111곡류-계,"10,852,161.51","8,070,393",2017년01월
21,11101쌀-계,"10,852,161.51","8,070,393",2017년01월
22,112서류-계,3.7,49,2017년01월
23,11201감자-계,3.7,49,2017년01월
24,11202고구마-계,0,0,2017년01월
25,116과실류-계,0,0,2017년01월
26,11601사과-계,0,0,2017년01월
27,121채소류-계,"7,270,700.1","3,094,176",2017년01월
28,12113시금치-계,0,0,2017년01월
29,12121무-계,"1,046,830","205,871",2017년01월
30,12123당근-계,"5,345,870","2,612,649",2017년01월
31,12132오이-계,"878,000.1","275,656",2017년01월
32,12161고추-계,0,0,2017년01월
33,2축산물-계,"514,085.83","1,441,084",2017년01월
34,242난류-계,"514,085.83","1,441,084",2017년01월
